timestamp,package_temp_c
10:56:32.880216942,47.000
10:56:33.474543459,47.000
10:56:34.075915003,96.000
10:56:34.674857257,96.000
10:56:35.275563765,90.000
10:56:35.890894448,94.000
10:56:36.490629905,94.000
10:56:37.152110073,100.000
10:56:37.752355105,100.000
10:56:38.350275015,96.000
10:56:38.952782025,96.000
10:56:39.556272282,91.000
10:56:40.169426068,91.000
10:56:40.777269251,98.000
10:56:41.377129324,98.000
10:56:41.978258376,97.000
10:56:42.587105171,95.000
10:56:43.190647610,95.000
10:56:43.849403711,96.000
10:56:44.452978575,96.000
10:56:45.054560490,88.000
10:56:45.656756277,88.000
10:56:46.258457398,95.000
10:56:46.859122429,95.000
10:56:47.463827871,95.000
10:56:48.061491869,95.000
10:56:48.662393002,95.000
10:56:49.271242300,94.000
10:56:49.871195755,94.000
10:56:50.531550112,95.000
10:56:51.134438988,95.000
10:56:51.735029162,91.000
10:56:52.335428461,91.000
10:56:52.936804851,95.000
10:56:53.537480064,95.000
10:56:54.138304515,93.000
10:56:54.743146452,93.000
10:56:55.347473669,80.000
10:56:55.967590678,73.000
10:56:56.584125451,73.000
10:56:57.240014399,75.000
10:56:57.854156002,75.000
10:56:58.470152440,75.000
10:56:59.096626700,75.000
10:56:59.710165047,74.000
10:57:00.332825768,74.000
10:57:00.948016789,73.000
10:57:01.570227925,75.000
10:57:02.181539840,75.000
10:57:02.837841308,74.000
10:57:03.449637321,74.000
10:57:04.061074895,74.000
10:57:04.677059457,74.000
10:57:05.292316054,73.000
10:57:05.902257012,73.000
10:57:06.515140085,72.000
10:57:07.126672936,72.000
10:57:07.740364652,74.000
10:57:08.416929737,74.000
10:57:09.029131934,74.000
10:57:09.641644865,73.000
10:57:10.254276002,73.000
10:57:10.877401332,73.000
10:57:11.489751582,73.000
10:57:12.101247536,73.000
10:57:12.712973216,73.000
10:57:13.325306153,73.000
10:57:14.036132390,73.000
10:57:14.651683396,73.000
10:57:15.269660562,73.000
10:57:15.881280734,73.000
10:57:16.496498488,73.000
10:57:17.108128133,73.000
10:57:17.723085448,73.000
10:57:18.334538797,73.000
10:57:18.947844430,73.000
10:57:19.603168310,74.000
10:57:20.215287350,74.000
10:57:20.844556871,74.000
10:57:21.456816768,74.000
10:57:22.068675512,73.000
10:57:22.682016988,73.000
10:57:23.293296850,73.000
10:57:23.905429839,73.000
10:57:24.518894455,73.000
10:57:25.166926026,72.000
10:57:25.782629348,72.000
10:57:26.412770623,73.000
10:57:27.026281415,73.000
10:57:27.643383592,73.000
10:57:28.257579690,73.000
10:57:28.869238061,73.000
10:57:29.478780572,73.000
10:57:30.093144010,73.000
10:57:30.739772522,73.000
10:57:31.353309076,73.000
10:57:31.978690401,72.000
10:57:32.589902909,72.000
